date,menu_item,units_sold,day_of_week,week_of_year,month,is_weekend,is_holiday,is_tourist_season,rainfall_mm,temperature_c,local_event,rolling_7day_avg
2024-01-01,Margherita Pizza,34,0,1,1,0,1,0,0.0,13.5,0,34.0
2024-01-01,Pasta Carbonara,52,0,1,1,0,1,0,0.0,13.5,0,52.0
2024-01-01,Grilled Salmon,22,0,1,1,0,1,0,0.0,13.5,0,22.0
2024-01-01,Caesar Salad,18,0,1,1,0,1,0,0.0,13.5,0,18.0
2024-01-01,Tiramisu,25,0,1,1,0,1,0,0.0,13.5,0,25.0
2024-01-01,Risotto,30,0,1,1,0,1,0,0.0,13.5,0,30.0
2024-01-01,Bruschetta,29,0,1,1,0,1,0,0.0,13.5,0,29.0
2024-01-01,Grilled Chicken,21,0,1,1,0,1,0,0.0,13.5,0,21.0
2024-01-02,Margherita Pizza,30,1,1,1,0,0,0,0.0,8.7,0,32.0
2024-01-02,Pasta Carbonara,33,1,1,1,0,0,0,0.0,8.7,0,42.5
2024-01-02,Grilled Salmon,16,1,1,1,0,0,0,0.0,8.7,0,19.0
2024-01-02,Caesar Salad,16,1,1,1,0,0,0,0.0,8.7,0,17.0
2024-01-02,Tiramisu,19,1,1,1,0,0,0,0.0,8.7,0,22.0
2024-01-02,Risotto,30,1,1,1,0,0,0,0.0,8.7,0,30.0
2024-01-02,Bruschetta,25,1,1,1,0,0,0,0.0,8.7,0,27.0
2024-01-02,Grilled Chicken,18,1,1,1,0,0,0,0.0,8.7,0,19.5
2024-01-03,Margherita Pizza,26,2,1,1,0,0,0,6.6,14.2,0,30.0
2024-01-03,Pasta Carbonara,40,2,1,1,0,0,0,6.6,14.2,0,41.67
2024-01-03,Grilled Salmon,20,2,1,1,0,0,0,6.6,14.2,0,19.33
2024-01-03,Caesar Salad,13,2,1,1,0,0,0,6.6,14.2,0,15.67
2024-01-03,Tiramisu,17,2,1,1,0,0,0,6.6,14.2,0,20.33
2024-01-03,Risotto,27,2,1,1,0,0,0,6.6,14.2,0,29.0
2024-01-03,Bruschetta,23,2,1,1,0,0,0,6.6,14.2,0,25.67
2024-01-03,Grilled Chicken,18,2,1,1,0,0,0,6.6,14.2,0,19.0
2024-01-04,Margherita Pizza,36,3,1,1,0,0,0,0.0,12.5,1,31.5
2024-01-04,Pasta Carbonara,52,3,1,1,0,0,0,0.0,12.5,1,44.25
2024-01-04,Grilled Salmon,21,3,1,1,0,0,0,0.0,12.5,1,19.75
2024-01-04,Caesar Salad,19,3,1,1,0,0,0,0.0,12.5,1,16.5
2024-01-04,Tiramisu,24,3,1,1,0,0,0,0.0,12.5,1,21.25
2024-01-04,Risotto,37,3,1,1,0,0,0,0.0,12.5,1,31.0
2024-01-04,Bruschetta,31,3,1,1,0,0,0,0.0,12.5,1,27.0
2024-01-04,Grilled Chicken,27,3,1,1,0,0,0,0.0,12.5,1,21.0
2024-01-05,Margherita Pizza,32,4,1,1,0,0,0,0.0,14.6,0,31.6
2024-01-05,Pasta Carbonara,38,4,1,1,0,0,0,0.0,14.6,0,43.0
2024-01-05,Grilled Salmon,18,4,1,1,0,0,0,0.0,14.6,0,19.4
2024-01-05,Caesar Salad,13,4,1,1,0,0,0,0.0,14.6,0,15.8
2024-01-05,Tiramisu,22,4,1,1,0,0,0,0.0,14.6,0,21.4
2024-01-05,Risotto,30,4,1,1,0,0,0,0.0,14.6,0,30.8
2024-01-05,Bruschetta,21,4,1,1,0,0,0,0.0,14.6,0,25.8
2024-01-05,Grilled Chicken,18,4,1,1,0,0,0,0.0,14.6,0,20.4
2024-01-06,Margherita Pizza,44,5,1,1,1,0,0,3.1,14.0,0,33.67
2024-01-06,Pasta Carbonara,62,5,1,1,1,0,0,3.1,14.0,0,46.17
2024-01-06,Grilled Salmon,28,5,1,1,1,0,0,3.1,14.0,0,20.83
2024-01-06,Caesar Salad,21,5,1,1,1,0,0,3.1,14.0,0,16.67
2024-01-06,Tiramisu,26,5,1,1,1,0,0,3.1,14.0,0,22.17
2024-01-06,Risotto,42,5,1,1,1,0,0,3.1,14.0,0,32.67
2024-01-06,Bruschetta,24,5,1,1,1,0,0,3.1,14.0,0,25.5
2024-01-06,Grilled Chicken,27,5,1,1,1,0,0,3.1,14.0,0,21.5
2024-01-07,Margherita Pizza,37,6,1,1,1,0,0,0.0,11.2,0,34.14
2024-01-07,Pasta Carbonara,44,6,1,1,1,0,0,0.0,11.2,0,45.86
2024-01-07,Grilled Salmon,24,6,1,1,1,0,0,0.0,11.2,0,21.29
2024-01-07,Caesar Salad,20,6,1,1,1,0,0,0.0,11.2,0,17.14
2024-01-07,Tiramisu,33,6,1,1,1,0,0,0.0,11.2,0,23.71
2024-01-07,Risotto,42,6,1,1,1,0,0,0.0,11.2,0,34.0
2024-01-07,Bruschetta,31,6,1,1,1,0,0,0.0,11.2,0,26.29
2024-01-07,Grilled Chicken,30,6,1,1,1,0,0,0.0,11.2,0,22.71
2024-01-08,Margherita Pizza,34,0,2,1,0,0,0,11.7,13.9,0,34.14
2024-01-08,Pasta Carbonara,51,0,2,1,0,0,0,11.7,13.9,0,45.71
2024-01-08,Grilled Salmon,16,0,2,1,0,0,0,11.7,13.9,0,20.43
2024-01-08,Caesar Salad,13,0,2,1,0,0,0,11.7,13.9,0,16.43
2024-01-08,Tiramisu,17,0,2,1,0,0,0,11.7,13.9,0,22.57
2024-01-08,Risotto,36,0,2,1,0,0,0,11.7,13.9,0,34.86
2024-01-08,Bruschetta,19,0,2,1,0,0,0,11.7,13.9,0,24.86
2024-01-08,Grilled Chicken,19,0,2,1,0,0,0,11.7,13.9,0,22.43
2024-01-09,Margherita Pizza,26,1,2,1,0,0,0,0.0,14.1,0,33.57
2024-01-09,Pasta Carbonara,40,1,2,1,0,0,0,0.0,14.1,0,46.71
2024-01-09,Grilled Salmon,19,1,2,1,0,0,0,0.0,14.1,0,20.86
2024-01-09,Caesar Salad,13,1,2,1,0,0,0,0.0,14.1,0,16.0
2024-01-09,Tiramisu,17,1,2,1,0,0,0,0.0,14.1,0,22.29
2024-01-09,Risotto,33,1,2,1,0,0,0,0.0,14.1,0,35.29
2024-01-09,Bruschetta,26,1,2,1,0,0,0,0.0,14.1,0,25.0
2024-01-09,Grilled Chicken,19,1,2,1,0,0,0,0.0,14.1,0,22.57
2024-01-10,Margherita Pizza,31,2,2,1,0,0,0,20.6,12.6,0,34.29
2024-01-10,Pasta Carbonara,41,2,2,1,0,0,0,20.6,12.6,0,46.86
2024-01-10,Grilled Salmon,14,2,2,1,0,0,0,20.6,12.6,0,20.0
2024-01-10,Caesar Salad,12,2,2,1,0,0,0,20.6,12.6,0,15.86
2024-01-10,Tiramisu,22,2,2,1,0,0,0,20.6,12.6,0,23.0
2024-01-10,Risotto,37,2,2,1,0,0,0,20.6,12.6,0,36.71
2024-01-10,Bruschetta,19,2,2,1,0,0,0,20.6,12.6,0,24.43
2024-01-10,Grilled Chicken,18,2,2,1,0,0,0,20.6,12.6,0,22.57
2024-01-11,Margherita Pizza,31,3,2,1,0,0,0,0.0,11.8,0,33.57
2024-01-11,Pasta Carbonara,39,3,2,1,0,0,0,0.0,11.8,0,45.0
2024-01-11,Grilled Salmon,23,3,2,1,0,0,0,0.0,11.8,0,20.29
